"Compiled from boardgamegeek.com by Matt Borthwick",gameID,rating,comment
80218,138788,6.1,"Solo Player Value = Fair. The game does not change when played solo, but you miss the competitive edge to keep pushing your luck.  Two Player Value = Fair  Three Player Value = Fair   Dungeon Roll is a simple competitive push-your-luck dice game.  One of best things about Dungeon Roll is the speed of the game.  An entire game can be played in under 15 minutes.  That makes this game great for short time frames.  Dungeon Roll is purely a dice game. Dice represent the active player and other dice represent the dungeon he is exploring.  Each turn the player rolls his dice. He then uses those dice to adventure as far into the dungeon as possible. Once a die is used it can not be re-used.  The opposing player acts as the dungeon and rolls dungeon dice each round equal to the current level of the dungeon the player is on. This way the dungeon gets progressively harder the further the player adventures.  Three runs through the dungeon and the game ends. The player that explored the furtherest wins.  A single use activated character ability helps the player each turn.  Dungeon Roll truly is very simple. It uses only a single mechanic and has minimal components. The game is easy to learn and fast to play.  The theme is entirely pasted to the game. This push-your-luck system could be used with almost any theme.   Pros -  - Easy to learn and fast to play   Cons -  - Not much game here. Just straight push-your-luck dice mechanic   Overall Playability = 6.1  Design = 6 Strategy = 6 Luck = 9 Artwork & Components = 3 Use of Mechanics = 7 Time of Play = 8 Fun = 7 Innovation = 5 Analysis Paralysis = 7 Theme = 3   [b]-------------------------------------------------------------------------------------------------------------------[/b]   Here I will discuss the Dungeon Roll expansion [thing=139583][/thing].  Really not much to this expansion.  This is just a few more character cards with new and different activated abilities to aid the players.  This expansion bring nothing new to the base game.   [b]-------------------------------------------------------------------------------------------------------------------------------------------------[/b]   The expansion [thing=139582][/thing] is only a single character card.  Although a rather powerful one.  It does include the extra dice for her as well.   [b]-------------------------------------------------------------------------------------------------------------------------------------------------[/b]   Here I will discuss the expansion [thing=150233][/thing].   [b]-------------------------------------------------------------------------------------------------------------------[/b]   Got in 2013  2013 Plays = 2 2014 Plays = 4    Solo Game List - http://boardgamegeek.com/geeklist/171377/rygels-solo-game-list  Two Player Game List - http://boardgamegeek.com/geeklist/171376/item/3198029#item3198029   Three Player Game List - http://boardgamegeek.com/geeklist/171378/item/3765749#item3765749  "
2537,258,7,"Definitely prefer 4.0 bring back the creepers!"
111777,13308,8,"This game scores both for its original moving board and lack of randomness - the unpredictability is down solely to the choices of the other players.  Plenty of opportunity for intentional and perhaps less intentional screwage here.  The pieces are beautiful too."
179898,929,6,"4-8p, 33m.  Fun, but oddly annoying if you get to be ""Peon"" too soon and can't break out of it."
10602,13,6,"I'm not that big of a fan.  My biggest gripe with the game is that player's can have turns where there is literally nothing they can do other than beg for somone to trade with them as a consequence of the roll of the dice.  I just don't find games where you are forced to ""pass"" on occasion to be very interesting."
52445,143884,6.5,"Good game, it's just a bit light/chaotic for me. I'll usually play it if asked."
20209,12,7,"I have played this once, ok game"
53041,463,7,"Good, but you need alot of money, and i hate games like that where the winner is usaly the person with the most money. "
1071,100423,7,"Light, dice-heavy co-op."
176511,40398,7,"A Monopoly card game that doesn't suck."
131973,18602,9,"Really like this one. Better with 4 players."
103726,1406,6,"Monopoly if played by the correct rules (has ever a game been so thoroughly played incorrectly?) has a very interesting first half. Yeah, there is a lot of luck but the auctions, use of leverage, and trading in the first half of the game create more interesting decisions than 90% of the games I play these days. The auctions in this game can be vicious!   The 2nd half of the game is terrible though, with players just rolling around seeing who lands on each others properties and with the dreaded player elimination. But, again, played by the right rules with a proactive banker and gamerunner, the game only takes about 2 hours. I played a couple of 3-player games recently in less than 90 minutes.   This is an historic game, and is still worth playing and even betters many contemporary games in its first half. Unfairly maligned. "
103046,178900,9,"Really nice. Works best for me when people deactivate their gamer brain and can chat and socialise while the spy-masters formulate their clues. "
158255,823,4,"Innovative co-op game. Repetitiveness gnaws away the excitment, but still a very intense game. Guess I'll have to try the expansions soon."
24020,93260,7,"I've only played Summoner Wars about three times. I think it was a decently designed game, but as a card game enthusiast it didn't quite hit the spot with me. I think its the resource system that makes me hesitant to call this a good game, but then again I am a total newbie at the game. I'd say this a decent game, but there are better card games out there."
42271,68448,8.5,"An enjoyable game, It's reasonably complex yet still easy enough to teach new players in a short amount of time. Gameplay is a little dry as you are basically taking a card and passing your hand to the next player. However, there is enough variety in the cards (and wonders), and in what you can do with them, that I don't mind it too much. I love games with good artwork and 7 Wonders has great artwork. Quite honestly this games biggest plus is the short amount of time it takes to play. I tend to like longer, more strategic games, and was pleased to find that 7 Wonders was a short, fast paced game that has a good amount of strategy.  "
61618,68448,8,"Scales from two to seven unlike any other game in my collection, and serves up an entertaining platter of clever, compelling play with little downtime.   I had been afraid to try this because I was sure I'd like it and have to get it.  But try it I did.  Fortunately, my wife bought it for me for my birthday :-)"
34466,27173,5.5,"Relatively boring. The use of the price wheel is clever and unique, but that is about all. "
150793,27588,6,"+1 play with Aquaretto"
178693,7854,8,"My second-favorite GIPF game, after ZERTZ. Another abstract where new strategies emerge after repeated play. My wife really likes this, so it comes out more often than the others."
126648,18,4,"When I played this game, one of the players had no idea what was going on and could not move at all.  The rest of us were bunched until I made a breakaway.  Once I got ahead, I could move freely and there was no way for the rest of the players to catch up becasue they kept bumping into and shooting eachother.  It was different from any other game I have played, but it was slow moving and the programming mechanic made this feel too much like work.  "
51854,182028,9,"Gifted to a friend that likes board games and LOVES Civ the computer game! He's stoked!"
139371,2921,4,"I think I like the older versions of this one better.  "
96979,68425,8,"Deckbuilders always a hit in our house, this was no exception. Loved the twist on the genre."
50335,54043,4,"Just does not really click with my wife and I."
9951,66188,7,"Nice concepts and lovely production values, very thematic."
139333,6249,5,"I found the gameplay a bit bland over the course of ~8 plays. It wasn't bad. Maybe Alhambra deserves another look from me."
184540,150,8,"Perfect game but really expensive !"
17465,34499,7,"Robot addition is kind of silly, but the extra cards are a welcome addition as they provide more ways to score points and expand the avenues of synergy between cards."
26842,50381,7,"I need more expansions to get me to play more. I like to play infrequently to keep it fresh."
190550,147020,9,"I like the production quality better on Cthulhu Realms, but ultimately find this more fun."
1065,74,6,"A fun party game that introduced me to the now common concept of playing to gain the favor of a subjective judge. There are a lot of politics at play in this game, as people will try and gain revenge when you snub their card. My younger self found the strange juxtapositions you can make in this game hilarious, but now the cards seem just a bit dry."
177092,140,6,"My game does not have the bell, but I see why this game comes with a bell.  The bell is not a gimmick, it's a tie breaking mechanism.  Players often corner the markets simultaneously, which in my bell-less game results in a tie.  Regardless, a fun fast paced, and FAST trading game.  To be played only when standing up."
61618,590,5,"An old friend -- light, fun, fast.  Not much in the way of decision-making, though, that's for sure."
114227,822,7,"Learning Curve: 9/10  Strategic Balance: 5/10  Player Interaction: 6/10  Thematic Direction: 4/10  Replay Addiction: 7/10  Additional Information [b]Simple and addictive game [/b]which focuses on fort and road stealing. Very irritating if playing with an experienced player. They know how to screw you up so bad and it feels like you can't do anything about it. It's fun if you can teach your new player the strategy because the game mechanics are simple enough to pick up fast. Hardest concept is the farmers, which makes the game very tricky."
66970,2651,8,"Excellent business/planning game where players are attempting to run power to an increasing number of cities.  Players link the cities ""crayon rail game"" style (or in the new edition, by simply placing wooden houses in cities on the printed power grid), via drawing on the mapsheet and run the power by picking up power plants at auction.  Money is earned based on cities powered and is used for better plants, the resources to run them, and further power links.  Great game."
163646,20551,7,"A cool game.  I just don't get to play it often enough to get comfortable with the strategies involved."
46091,92539,8.5,"I like that you can decide your strategy early.  Gives focus to the game."
98563,2807,10,"This expansion fixes almost everything anyone can complain about with the original Catan. I think it is a 100% necessity if you want good 3 player to 6 player games. Should have been part of the base game. Much better balanced game. My fav expansion/fix ever."
35149,124742,6,"Expansions Owned:    Android:Netrunner - A Study in Static    Android:Netrunner - Opening Moves    Android:Netrunner - What Lies Ahead    Android:Netrunner - Future Proof    Android:Netrunner - Humanity's Shadow    Android:Netrunner - Creation and Control (Bigbox)"
143194,40692,7,"Best with 4 players Recommended with 2–5 players  Subdomain_Family Games; Strategy Games Category_Fantasy; Fighting; Territory Building Mechanic_Area Control / Area Influence; Area Movement; Dice Rolling; Variable Player Powers  in itunes"
3200,161970,6,"Ingenious in design but luckfest in result."
185856,3955,5,"Purchased October 2007"
148650,822,8.5,"Aaahhh, it's a classic for a reason"
21346,132531,6,"I've played 'Race' enough times to know that it's not really a game I want to pursue any further. Confusing iconography, awkward production/trade phases, and a game that rewards experience with bonus card combos means those who have played the game more will always crush those who have played it less while less-experienced players smell defeat about 10 minutes into it. I do like the spirit of Race and the impressive artwork, but that's about it.  I wanted to try Roll because (again) the spirit of Race is pretty awesome and I was hoping for a game that could capture the spirit but does it in a more straightforward way. I had no idea what to expect (or even if this was the goal of the designers).  What I found was a game almost completely devoid of that ""spirit"". It's quite MPS (with some indirect interaction) and not a very interesting solitaire game at that. Dice are generalized enough that you can pretty much do what you want without the dice getting in the way.  The designers clearly wanted to avoid the dice dictating your turn, so they went for a way to limit that feeling at the expense of the tension inherent in the core mechanic itself.  For a dice game I'm surprised by how irrelevant the dice felt by the end. Never did I feel like I had to make a crucial decision between one choice or the other. The game was all: build tiles, get some dice, roll some dice, build some more tiles, rush to the end of the game.  There are so many points in the tiles and it's pretty easy to build them that pursuing a produce/trade strategy seemed like a comparative time-waster to throwing everything into high-scoring tiles.  Even mining for the best tiles seems like a waste of time as my impression is working with that you got the first time around is slightly better than spending several turns hunting for better tiles. Certainly there are things to explore in the game for a group who loves it and yes there are ways to counter a player who is just dumping everything into colonize/research.  But for a first-time player and one who wants to be inspired to play more, 'Roll' comes off as fiddly, cumbersome, and for the most part, uninspired game.  My '6' rating is based on the fact that it is well-worked, unique as dice games go, and thoroughly designed. I try to rate games less on personal enjoyment and more on the craft of the game itself.  Plus, benefit of the doubt has to go to the fact that I have only played it once.  Lehmann and the Rio Grande team are no slouches when it comes to building something to its completion, and 'Roll' never comes off as half-baked or impractical. My guess is relative newcomer designer Huang did the majority of the design here and Lehmann simply lent his core ideas to the game.  This isn't to say that Huang's design comes off as amateurish (it doesn't) but rather that the game feels less aligned with what I feel most inspired ""Race': The theme.  'Roll' literally gets buried under its mechanisms and feels a shade colder because of it.  Though I have never been a true fan of  'Race', I would rather play Race now that I've experienced both.  Honestly, I'd still rather play San Juan."
56125,72125,7.5,"Includes Nebula, Pulsar, Rise of the Ancients, Ship Pack One, Supernova, and 6 acrylic trays to hold the wooden cubes"
57456,104006,9,"Great worker placement game, one of the best I have played in recent times.  Reminds me a bit of caylus in its style and gameplay."
88547,4390,7,"This is the first game that I introduce to my students."
160591,92415,7,"Bluffing reduced to the max. While Liar's Dice still needed dice to give a base for players' bids, Skull & Roses uses coasters (one each with a skull, three with roses) that players put on their mat. From others' bids and/or minds the players have to guess who bid the good roses and who has bad skulls. Needs the right group of at least 4 or 5 who like to play other players and not only the game to really work but then it's one of the most fun 15 minute fillers around."
165940,146652,9,"I love the mechanic and level of suspense this game manages to deliver.  Very fun.  Initial unboxing is a tedious chore, and it lacks variety after multiple plays, but it's still solid, and mechanically satisfying."
152986,15987,8,"After getting through all the quirks with the rules, this game is a blast!  "
1219,104162,6.5,"New version of this popular dungeon crawler. It's got pretty much everything I like in a game: theme, miniatures, dice, cooperative play; however, for some reason I'm not as enthralled with this as much as I was with the D&D Adventure games, but it's only been two quests, so I'll re-evaluate in a while.  The miniatures are great, the gameplay is very quick, and the components are top notch (it is Fantasy Flight, after all). I look forward to playing more of this and hopefully loving it!!"
162645,43015,8,"One of the best games for groups of players. May be dry but promotes player interaction by blocking, getting special abilities, get points from alternative ways. A great game."
142665,24480,5,"This game puts the components above the gameplay: it could be easily streamlined (why not have a track for the workers in the same way that money is handled?) so that there is less to do. For the time it takes to play this game, it doesn't offer enough long term strategy. Due to the luck of the draw it is largely tactical."
52575,483,10,"I've seen marriages end over this one.  Awesome!"
80019,9216,8,"Originality (1.0/1.0)    Theme (0.0/0.5) Pure Fun (0.75/1.0) Replayability (0.75/1.0)    Strategy/Luck Ratio (0.5/0.5)    Scalability (0.5/0.5)    Parity (0.5/0.5)  Overall 4.0/5.0"
13228,107529,10,"Needs expansions."
110285,278,8,"Garrisons are very useful to have!"
192801,5,8,"Ah, a classic... Nor left untarnished by age. It is no game of this time but what fond memories I have of it. Modern variations like Chinatown and Eden have not been as good or succesfull... "
25125,2397,6.5,"Good for a taste of strategy without the heavy lifting."
84118,70323,7,"My number one game to play with the kids."
11655,13,6,"I don't really see what the fuss is about. It's fine. I'm not a fan of trading mechanics, though, so I guess it was never going to catch fire with me. Bought in a sale."
137012,66690,9,"This really brings in some fresh air without changing the proven elements."
34554,37380,6,"Nice Yahtzee variant with some real choices (but no more difficult). Much, much better than the Catan Dice game (which is extremely restrictive - Yahtzee has more choices).   I believe the game is better if one modifies the rules a bit - the game as it stands is over far too quickly. We often play that the game ends when one player has 7 techs (vrs 5) or when all of the monuments have been built AND one player has at least 3 of these (not necessarily the first place monument but has at least 3). This seems to add just enough time to make the game a bit meatier without overstaying its welcome."
105788,521,7,"Just a lot of fun to play, and it requires quite a bit of skill to boot.  The only downside is that, if you're pretty good, play doesn't REALLY start until someone misses a bullseye, which may take a few shots."
184017,258,1,"Boy, is this irritating - any strategy you form is almost guaranteed to be spoiled through no effort of the other players.  It's a game that punishes thinking."
64776,258,1,"Steaming turd."
70547,143884,6,"Fun, light filler.  Some strategy involved.  Winners take large leads, but the games are short.  Variable set-up would definitely improve game play."
124471,171,6.5,"A.F.'s Game"
155735,822,7,"A good gateway/family game.  I like it best with 2 players - it's more tactical and players have much more influence over what's happening ""on the board""."
102665,13291,6,"I'm not a huge fan of taking things out of the main deck to put new things in.  It's not an issue with the characters, but I wish this was a deck of new buildings in all colors, not just purple. "
40033,18,5,"RoboRally is a fine game, and it definitely has some really good qualities.  I like the simultaneous move planning, and I like that it can play with a wide range of players.  The upgrade cards are a good touch, though I wish they were easier to get, and the ability to customize maps is always a plus.  But I just don't find myself enjoying this game as much as I think I should.  Perhaps its that your control over movement is on such a fine level that the progress comes really slowly.  Or perhaps it is that despite the fine control, you are really at the whim of the cards and it is actually quite difficult to go where you want to.  I don't have any trouble visualizing how the board will effect me, so it is only the cards that seem to thwart me.  I don't mind playing RoboRally, but I wouldn't pull it out unless there were a lot of players."
8398,169786,8,"Wouldn't have gone near it if it wasn't for Gamenight! and my friend owning the game. Seems as heavy as Terra Mystica, I didn't even check out the game on BGG so I didn't know that Scythe was more of a medium-weight game as compared to TM. Awesome game with different things to do, you can deploy mechs, hire workers, produce resources, combat with others, pay to increase popularity, combat power/cards and resources, you also have to check what your neighbours are doing more than those further away due to ""enlist"" benefits and encounter tokens. The encounter card provided a side entertainment for me. Most probably won't win but still willing to try again if given the chance."
36340,278,2,"Purchased 06/23/06   Good game, lots of interesting choices, but develops SLOWLY....waaaaaaaay too slowly.  After an hour in, I was in the lead with 8/12 VP.  Maybe play to 10?  Way too long for what it is, but perhaps future playings will speed things up a bit."
130077,915,6.5,"Fun whodunnit game with a good theme"
41353,1917,6.5,"Brother and I played this hundreds of time growing up.  Loved it.  One of the games that fueled my gaming addiction early on."
84087,116,5,"I think this game is pretty over-rated.  I mean it has lovely cards, but its kinda of lacking something to pull in the gamer with.  Moderatly enjoyable at best!"
12779,13823,8,"Game is growing on me.  I never played CCGS, but I do like the drafting mechanism and and ability to flip/unflip others cards.  Pay attention to what you pass on and what that person to your left plays - don't feed them too much."
82907,172,8.5,"Maybe the best auction game along with Modern Art. For Sale strips away everything unnecessary which brings player interactions to the forefront. Classic."
7422,105551,6,"Intimidating rules at first, but it actually plays really smoothly. Hidden goals at the end makes it seem pretty obtuse, but once everyone is familiar with the game you kind of know what you're going for overall. The map you make during play is just gorgeous- one of the nicest looking boards I've seen. Every archipelago comes out totally differently.  Edit: Bringing down the rating some. It's an excellent game, but I just can't get myself excited to teach and play it again."
28956,126042,6,"Horrible artwork for a dry and expensive game. Low indirect interaction. More sense of civ building in 7wonders. Though the game is tense and easy to teach. Feels like Agricola in the sense that you're always trying to catch up with resources. "
122187,699,7,"Gave this to my older brother after his copy was damaged."
149618,15818,9,"AKA Heck Meck This game can be played by two players, however the third player makes the game more competitive.  A player must weigh when to press the odds of rolling what is needed to make a higher sum or to settle for  a lesser but workable result. "
10841,31260,8,"Really solid game with lots of replay value. Stick to 3 or maybe 4 people, and it's also good as a 2-player game. I don't mind the luck of the draw in the cards as I quite like figuring out what combos are in my set; I wouldn't mind trying drafting with players that are familiar with the game though."
72454,12942,8,"A nice, simple, casual game for traveling.  One of my TRAVEL PACK games."
3256,45,5,"I'm split on this. On one hand, it's a fun, loud party game. On the other, once you start losing, you're in trouble and I'm not a fan of games that are unforgiving from the start."
37755,172,7,"A very simple little filler. I like the two different round structure, but the game play very similar each time. But a fine filler."
122895,96848,7,"Interesting game based on card use and perfect information. Not for everyone but fun for the solitaire gamer."
29497,7854,8,"My wife just loves to kick my a** with this one... It makes me feel so stupid... :("
10102,91312,7,"Game can be very random and the winning conditions does not seem too balanced, but a very fun experience if not taken too seriously."
151695,36218,7,"The father of all deck builders. Much respect."
118018,133038,8,"Play this game 2 player with my significant other and it works really good for that. I can't see this game going over with my gaming group but works really good as a family game."
177304,51,5.5,"I think that this one is an aquired taste.  And I hope I can find people to play with.  It seems I can't find any takers."
169106,25554,7,"Rating based on one play. Need to play more. This may go WAY up or WAY down. This is a Victory Point machine with seemingly many paths to victory. Interesting."
174003,28143,10,"7 plays - 7/10: it's enjoyable but i don't know where to even begin strategically, which doesn't motivate me to play it again.   10 plays - 8/10: I'd decided to give this a second chance just in case.  I'm definitely enjoying it more as i play it and figure it out more.   15 plays - 9/10: Love it, but the icon system and consume phase are counter-intuitive.  It's also taking me a long time to figure out consume strategies, and i have difficulty playing hands without obvious synergies.   25 plays - 10/10: and there we have it, that says it all.  I now realize the reason it took me a long time to understand and enjoy the game was that my teacher didn't do a great job.  I will be teaching this to many people and they will like it a lot better a lot faster cuz i'll do it right.  67 plays (265 incl. TGS) - 9/10: downgraded this to reflect that despite loving r4tg, TGS is a hell of a lot better.  89 plays (467 incl. TGS/RvI) - 9.9/10: what i should have downgraded it to in the first place, just that i don't really use decimal ratings.  264 plays - 10: remains at this rating. While the base game feels a little simplistic and routine after more than 2,000 plays of various Race formats, it's still the grandaddy/foundation of all variations of by far the best game to date, and therefore an automatic 10."
176997,133473,7,"It seems ok as a simple filler - quick and with so little decisions to make. I would like to try it for more players than 3, though."
74741,65781,4,"Meh.  Not particularly strategically deep, I think.  Money cards at the start of the game are incredibly important.  I liked the forced discard mechanism, but this emphasizes the pasted-on theme. Race for the Galaxy does it so much better.  Limited replayability thanks to the lack of interesting combos and the stacked deck.  "
108206,27627,8,"This new edition is as fun as the old 2nd edition that I played when I was younger.  The only real difference is the high quality components.  This game is extremely luck based but still provides an incredibly thematic gaming experience that is different every time.  I was lucky enough to get one of the advanced copies the first day of GenCon Indy 2007.  Can't wait for expansions."
191459,79828,8,"Limited Edition Signed Copy 128/1000.  [10 plays] I'm very happy with my purchase and pretty darned pleased with how the first play went. There's a lot going on here (rules aren't bad, but the broad palette of options can be daunting at first). I'm really looking forward to playing this a bunch more and the learning and exploring of strategies and tactics.  The components are all great (and I think the basic pieces would be just fine too) and the artwork is nice. The rules are very well done (this is not a typical Wallace strong point). There's a nice amount of angst here, and the theme is well integrated to the gameplay. I love the map. Dang I'm happy with this so far, the more I think about it the more I want to play again right now.  Update 5/13 -- British need to play a bit more like a wargame and France needs to play a bit more like an empire expansion game. Building and maintaining an effective deck may be the most important and most difficult part of playing this game well.  Most recent play Jan '16."
89738,5404,8,"As I play the strategies get more apparent, but it is not too complex for enjoyment early on."
164523,2653,7.5,"[b][url=http://boardgamegeek.com/video/4648/survive/drakkenstrikes-survive-escape-from-atlantis-compon]Drakkenstrike's Survive: Escape from Atlantis! Components Breakdown Video Review in HD[/url][/b]"
153514,139030,7.5,"I really enjoy this bluffing game.  This game has replaced Coup for me.  I enjoy making people lose their cards or not. "
95016,127023,6,"I don't like the unintended ""fog of war"" that results from having to remember all of the abilities and combos others have with the various tiles they've squirreled away. While it is a common problem in many games of this ilk, I admit it's not supremely egregious here.  However, if your play frequency is less than that of others at your table, you will always be at a disadvantage.  So the question comes down to, do you want to memorize all of the tile abilities or not?  I've made my choice. "
15709,65244,5,"- Math traded away at BGG.CON 2013"
18768,20100,8,"A trivia game I like because you dont need to know crap."
87526,143884,8,"A deceptively simple game almost entirely luck driven but one which involves dice mitigation. The combos are there but not always obvious. Great fun."
163269,35677,7.5,"Like Agricola, I'm not such a huge fan of this game as the geek community at large seems to be. I find that both games lack a certain elegance in the mechanics which is common to really good Euro-games. Of the two, however, I'd pick Le Havre over Agricola every time. If the game didn't take so long I'd like it a lot more, but with so many shorter games that provide an equal or greater amount of fun, I don't think this is ever likely to be in my top 10."
168640,172386,7.5,"I like the hand management portion of the game a lot.  It is interesting how the game switches mode to area control as the end game approaches.  Interested in more plays.  "
78591,1917,7,"A good strategy game."
77890,5782,8.5,"Fantastic gateway game. Quick-playing, easy to explain. Must own."
67926,28023,7,"A quick racing game with excellent graphics. A bit random, but who cares, really."
169252,31260,8,"One of the few games my wife will play with me.  This is easier to pick up than it initially seems and the theme is pretty accessible.  There is a lot of depth here, which may initially be hard to grasp for some, but you will pick it up as you go. I would love to pick up wooden meeples for this to make the experience even more engaging, but i can't rationalize it yet...yet.... "
7813,27162,8,"I enjoy this game immensely, even if I'm pretty bad at it. My plans tend to fall apart, but in a way that makes me want to go back and try it again."
181927,68448,8.5,"Wow, what a great game. Scales very well all the way from 2 to 7 players, plays very quick but still gives you a feeling of building up your civilization, with multiple paths to victory."
27836,3,9,"I first rated this an 8, but after having played a number of times more with my little sister, I really enjoy this odd little Knizia number. Many complain of the weird scoring, but I think it makes sense after a couple of plays at the very most. An elegant two-player game turns into a rather more chaotic three- or four-player game, but it keeps a nice sense of tension throughout.  UPDATE: I hear there is a remake with cards, that does not feature the little plastic Buddhas, rice paddies, and high helmets.  The game would be pointless.  Buy this one. It costs more, but is gorgeous, and the art and bits REALLY add to the experience."
119794,24480,7.5,"Very thematic and really nice Components, specially the gameboard. This was beaten up to some degree by Lords of Waterdeep."
136092,14996,7,"Easy to learn rules, nice pieces, but lacks real depth."
28467,15062,7,"I have had great luck getting non gamers to play this one, and everyone seems to enjoy it.  The game can go any direction, and usually good decisions can beat bad luck."
182285,3076,2,"It's okay.  It's probably more enjoyable with people that don't game as much, just so people don't always 'optimal' moves.  More interesting."
73879,11170,6,"Fun, somewhat challenging, nicely detailed game. Takes too long to set up however."
63606,42,8.5,"So far, this is my favorite ""heavy"" Euro game.  Some people are bothered by the randomness of the tile draw, but I don't find it to be worse than any other game with a random element.  It is weird, though, that there is no scaling mechanic for two- or three-player games. Hopefully I won't send people running for the hills when I try to teach it, but it should interest my Samurai-loving friends.  Haven't played this forever, but the iOS version has reminded me why I love it so much. I [u]really[/u] need to get this one out again."
156768,54625,8,"Grandiose, ambitious and glorious, Games Workshop have excelled with this one, its price was peanuts for what came in the box, it is so atmospheric and immersive, you can play forever and you will get a different experience each time."
80660,150312,7,"it just play for do someone mad."
72857,20963,7,"The only problem - and major complaint I have with this game - is that you've got to know the deck well to enjoy it. This could have been circumvented by a page of strategy/tactic hints. I like it, but now that most of my fellow players have been discouraged, I will not play it often."
104930,90137,6,"Only 2-3 plays so far and all of those have been 2-player. I believe this game gets much, much better with 3-4 people so I'll probably re-evaluate my score once I get some experience with that but honestly; it's one of those games that doesn't really stand out terribly. Almost seems doubtful that we'll pick to play this over a lot of other things. Not a bad game though!"
118826,822,8,"Simple yet always so much fun. I love the fact that I can teach this to anyone and it's so easy to pick up yet there's also a lot of strategy and a decent amount of player interaction."
125236,48726,8,"Alien Frontiers turned out to be a very pleasant surprise. I'd heard the comparisons to Troyes, a game I've owned for a while now, and was always glad I had it instead, being as it's touted as the more ""gamer's game"" of the two. But Alien Frontiers turned out to be a lot more different from Troyes than I was expecting.  Area majority plays a huge part (one of my favorite mechanisms), and while having a lighter feel, it almost seems like there are more options on how to use one's dice in this one, especially when playing with the Factions expansion which we also tried this month. The artwork is great, the rules are pretty straightforward, and there are usually at least a few good options every turn.  It's a solid game, and I'm glad that I have both it and Troyes in our collection."
143522,77423,9,"My initial reaction to playing this game was that it seemed kind of interesting and sure had cool artwork on the cards. After getting it in a trade and playing it solo a bunch of times I was ready to give up on it as it seemed impossible to win at. After realizing that this game really needs to be played with two or more players, I fell in love with it and have now acquired quite a few expansions."
115914,2471,6,"Very clunky rules, but kind of fun if played with the fast-play rules posted here on the geek. Can evoke some classic movie moments, or scenes that you could envision in a movie. There is definitely a time and place for this game."
97442,503,7,"A very good game that suffers from a major flaw that affects greatly the pleasure of playing : The pastel colors of camels are the worst effect and demand in order to play in good conditions to have an excellent source of light (headlamp, daylight, ...). What a shame ..."
62939,18602,6,"It is deep. Fantastic design but too dry and long. It doesn't work well for 5 players. "
64576,103,8,"First impression.  Want to play much more!"
83495,74,5,"Can be funny, if everyone plays completely ironically. If you've got one earnest person, then this becomes tedious."
56876,108745,8,"This is another favorite of mine.  I've only played it twice, but I really like how it plays.  I will admit that there is a slight learning curve if you've never played before.  It's difficult in the beginning to know what cards you should take, but after about one play through the game, it becomes easier."
39323,70323,7,"Great filler game that captures the theme of Japanese B-movies to a tee. Adults will prefer the cutthroat competition but even the younger crowd can play."
64828,12333,7,"Excellent condition - Aspirational game for my wife and I and unfortunately, never played.  The pieces are still in original bags. "
133939,31730,7,"i like this game, a train game that doesn't feel ike a train game.  i like how i have shares in all the trains. "
187094,103,8,"Yes, this game plays too long.  Yes, it is fueled in large part by nostalgia.  But, it is still a great game.  With the reprinting by Valley Games, this game should have a shot at breaking the Top 100, but doubtful.  Game Owned:  #1095."
88058,73439,8,"Tons going on in this game. Fun time learning it, and hope to play with 3 or 4 players some day. This is a pretty heavy game though."
97078,65781,8.5,"A very good card-driven game. Card and money management, area control. Multiple options, variety of deployment in order to gain VPs. Excellent art & graphic design of the cards and board-game. "
25657,120677,9,"All components work surprisingly well together for how much is going on. "
152358,136063,8,"Way way way more challenging than Forbidden Island. Very fiddly, though, so be patient.  Different ""doom"" mechanic than FI, but game has a very similar vibe."
130704,15062,7,"First game wasn't too fun, but got more fun after a few games."
121743,42,5.5,"Have played a few times now and feel it's too luck driven on what tiles you draw which would be fine if the game was half as long as it is or there was a way to manage being short of one area but the scoring is based on a balance of all colours so being weak in one area cannot be compensated elsewhere, although there are treasures and monuments they are hotly contested.  The obscure nature of what is a ""good"" action often means that players of different mindsets create odd games where several people think they are taking their best action but its not necessarily true or maybe it is, it's too obscure. Often one or two players get left to their own devices and win or people not paying attention to who needs what colours creates a problem if you don't control someone's weakest area and allow them to run away with the game  The hidden scoring adds to this problem as the colours are taken openly so it's possible to keep track but the game is complex enough that you need to focus on your own strategy quite a lot without enough time to focus on what other players are scoring. It would probably be a better game with open scoring but probably changes the dynamic too much. "
29606,14996,10,"Correcting rating from user malain who put random 1s to a bunch of games for no reason (some hints of racism though) - which was really damaging for the ranking of some unknown games with few ratings."
141003,12002,7,"Hard to judge after one play.  You have to know the cards to enjoy the game."
171249,1294,5,"Edition 2005"
31288,15818,8,"This is just so much fun.  Played with 2 and 4 players.  A surprising amount of decision making for a dice roller.  I picked it up at Essen 05 and spent the rest of the fest just telling everyone to buy it.  Recommended."
183314,19237,8,"Who doesn't like pointing foam guns at each another?  This bluffing game is so much fun, and gets even better with the included variants."
97711,59946,7,"Doesn't last forever, but c'est la vie. Permanent member of collection.   Traded away.  Traded for it back."
361,153938,7,"Light weight gambling fun.  The pyramid is quirky (And fragile) but that's part of what draws people to the game."
121751,39463,10,"Possibly the best iteration of this classic game and one of my all time favorites."
186670,15158,9,"Changes the game/strategy. Makes the game more chaotic."
144924,161970,10,"Brilliant design and play.  Loved it, even as some player were stuck in AP.  There was enough for me to think about that the game just seemed to get better and better.  "
